z_index,fused_profile,separated_profile,delta_profile,parallel_diffusion_profile,velocity_diffusion_profile,is_target_z,time,target_z,local_delta,max_delta,relative_delta,max_parallel_diffusion,max_velocity_diffusion,status,notes
10,0.003304228871648537,0.0034227371918521157,0.0006448678988428157,0.002421464822450256,0.00021560098046332138,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
11,0.004615537895167307,0.005074526834982091,0.001243473578882705,0.002230903224344763,0.0005774475724881834,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
12,0.004450168858724449,0.004456319193031326,0.00047364404214522075,0.0021440946006160964,0.0003762566853866181,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
13,0.0032655229178163627,0.003247701659565762,7.470703476706159e-05,0.0024376302527053667,5.664007581692173e-05,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
14,0.004138027623835451,0.0040819001994951065,0.0005944246832567191,0.0020276852030356673,0.00034236855359876515,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
15,0.00403658148671881,0.004640465692951381,0.0013782322404740262,0.002187890395226429,0.0005382255793525825,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
16,0.004053007638885555,0.00468074473063202,0.0013464826318317516,0.002206405199770258,0.0004912441196209939,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
17,0.004405405523117229,0.004368206603252517,0.0005324372251868113,0.0020320454097767274,0.00029980405274073076,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
18,0.0035507350985454723,0.003494775855582239,0.0001406737343866755,0.0025411750434692635,0.00013181760651682475,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
19,0.005177243603646024,0.005156342347987652,0.0005564115448702389,0.002750064262515853,0.0004611909532846715,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
20,0.00726565365405849,0.007510738976845824,0.001189649179019979,0.0033598042911225237,0.0006438116321565487,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
21,0.011300222895039597,0.011365699346561469,0.0007331900822019916,0.006396703699637313,9.983653805584175e-05,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
22,0.011999302298083287,0.0123137594718222,0.001508617665984,0.007044002628973732,0.0007597330135842486,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
23,0.010761026618833174,0.01072538884136902,0.0003577566311379082,0.005228399497117056,0.00022601965066419404,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
24,0.010761026618833176,0.010725388841369018,0.00035775663113790776,0.005228399497117056,0.00022601965066419398,True,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
25,0.01199930229808329,0.012313759471822198,0.0015086176659840009,0.00704400262897373,0.0007597330135842484,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
26,0.011300222895039598,0.011365699346561472,0.0007331900822019912,0.006396703699637309,9.983653805584174e-05,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
27,0.00726565365405849,0.007510738976845825,0.0011896491790199793,0.0033598042911225216,0.0006438116321565488,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
28,0.0051772436036460244,0.005156342347987652,0.0005564115448702389,0.0027500642625158532,0.00046119095328467157,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
29,0.003550735098545473,0.0034947758555822386,0.0001406737343866755,0.002541175043469264,0.0001318176065168248,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
30,0.004405405523117229,0.004368206603252518,0.0005324372251868113,0.0020320454097767266,0.0002998040527407307,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
31,0.004053007638885553,0.00468074473063202,0.0013464826318317516,0.002206405199770257,0.0004912441196209942,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
32,0.00403658148671881,0.004640465692951378,0.0013782322404740262,0.002187890395226429,0.0005382255793525825,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
33,0.004138027623835451,0.004081900199495106,0.0005944246832567188,0.0020276852030356664,0.0003423685535987652,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
34,0.003265522917816365,0.0032477016595657622,7.470703476706165e-05,0.002437630252705367,5.664007581692173e-05,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
35,0.004450168858724448,0.004456319193031328,0.0004736440421452205,0.0021440946006160964,0.0003762566853866183,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
36,0.004615537895167307,0.0050745268349820915,0.001243473578882705,0.0022309032243447635,0.0005774475724881836,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
37,0.003304228871648537,0.003422737191852118,0.0006448678988428157,0.002421464822450258,0.00021560098046332138,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
38,0.004355735745642791,0.004370606894102201,0.0005973587972263138,0.00192348092456009,0.0002707687412398969,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
39,0.0038418986985718413,0.0037783321246063367,0.00031469525493073547,0.0022102955395704167,0.00029326928351839374,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
40,0.003661506873286838,0.0036011411080301434,0.0003025314670310503,0.0021859986668822766,0.0002797221379040554,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
41,0.004279573200497002,0.004292695829991678,0.0006405449369140324,0.001885966122588771,0.0002641538575390013,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
42,0.00340284396555365,0.0035521585304193774,0.0006763295164147704,0.0023691035997540216,0.00024631791498120015,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
43,0.004328577336696254,0.004676399031020214,0.0012020811887153802,0.0021575070144627564,0.00055368424224906,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
44,0.004404470067586312,0.004400587604494652,0.00046628552418807753,0.0021031262908926744,0.0003663190834686539,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
45,0.003015766891704977,0.0029572453944649683,0.00012844979228299755,0.002352350850043076,0.00011443019756736094,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
46,0.003930929073967106,0.0037036882659923997,0.0010855967765252758,0.0,0.0,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
47,0.0027827140711482773,0.0026337510280079004,0.0009739271746027446,0.0,0.0,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
